LOCP_CHV_IDE;LOCP_COD_USUARIO;LOCP_DAT_INCLUSAO;LOCP_DSC_OPERACAO;LOCP_COD_SISTEMA;LOCP_NOM_TABELA;LOCP_CHV_IDE_TABELA;LOCP_TXT_REGISTRADO;LOCP_COD_CASO_USO;LOCP_COD_NIVEL;LOCP_END_IP_REQ
254964;Cliente_44;19/02/2018 09:42;30-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12|ConfirmadaOVsemelhante|Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=20/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000088|Qtd=5000|DtE=20/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254965;Cliente_44;19/02/2018 09:42;30-INCLUSAO-Fim chamada Ws-client -> Process Server - 3.724 (ms) de duração;ABC;;;Tip=null|Num=0210050101|Orig=12|ConfirmadaOVsemelhante|Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=20/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000088|Qtd=5000|DtE=20/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254971;Cliente_44;19/02/2018 09:42;Envio de Email do SCP;ABC;;;Notificação da OV '0210050101' foi enviada para o email 'XXXXXXXXXX'.;NOTIFICAR PEDIDO;800;unknow
254970;Cliente_44;19/02/2018 09:42;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;30-0210050101-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
254969;Cliente_44;19/02/2018 09:42;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;30-0210050101-A-Verificação 1 do usuário para crédito sem êxito;ENVIAR PEDIDO;900;unknow
254968;Cliente_44;19/02/2018 09:42;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;30-0210050101-A-Frete será determinado novamente;ENVIAR PEDIDO;900;unknow
254967;Cliente_44;19/02/2018 09:42;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;30-0210050101-A-Modificação da data fat.: data de faturamento será redeterminada;ENVIAR PEDIDO;900;unknow
254966;Cliente_44;19/02/2018 09:42;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;30-0210050101-S-Vd.Pgto.Antecipado 210050101 foi gravado(a);ENVIAR PEDIDO;900;unknow
254972;Cliente_11;19/02/2018 09:57;31-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=00000Cliente_11|Rec=00000Cliente_11|DtE=20/02/2018|TOV=Z706|Its=1#Pos=10#Prd=000000000001000209|Qtd=5000|DtE=20/02/2018|Bas=5065|Prz=Z007|Mod=Z02|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254978;Cliente_11;19/02/2018 09:57;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;31-0210050102-A-Verificação dinâmica de crédito: limite de crédito foi excedido 23.932,24 BRL;ENVIAR PEDIDO;900;unknow
254977;Cliente_11;19/02/2018 09:57;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;31-0210050102-S-KONVKOM processado com êxito;ENVIAR PEDIDO;900;unknow
254976;Cliente_11;19/02/2018 09:57;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;31-0210050102-S-VBAKKOM processado com êxito;ENVIAR PEDIDO;900;unknow
