CLIENTE,DATA,PRODUTO,QUANTIDADE
Cliente_21,09/03/2018 16:45,1000118,5000
Cliente_21,09/03/2018 16:47,1000088,50000
Cliente_21,09/03/2018 16:47,1000118,50000
Cliente_21,09/03/2018 16:49,1000088,50000
Cliente_21,09/03/2018 16:49,1000118,50000
Cliente_22,09/03/2018 16:49,1000209,5000
Cliente_21,09/03/2018 16:52,1000088,50000
Cliente_21,09/03/2018 16:52,1000118,50000
Cliente_18,09/03/2018 17:13,1000078,500000
Cliente_24,09/03/2018 17:43,1000209,45000
Cliente_24,09/03/2018 17:43,1000088,50000
Cliente_24,09/03/2018 17:43,1000078,65000
Cliente_24,09/03/2018 17:56,1000209,35000
Cliente_24,09/03/2018 17:56,1000088,35000
Cliente_24,09/03/2018 17:56,1000078,35000
Cliente_24,09/03/2018 17:56,1000209,35000
Cliente_24,09/03/2018 17:56,1000088,35000
Cliente_24,09/03/2018 17:56,1000078,35000
Cliente_24,09/03/2018 18:02,1000209,15000
Cliente_24,09/03/2018 18:04,1000209,15000
Cliente_24,09/03/2018 18:18,1000088,17000
Cliente_24,09/03/2018 18:20,1000078,15400
Cliente_24,09/03/2018 18:22,1000078,12000
Cliente_24,09/03/2018 18:23,1000078,12000
Cliente_26,09/03/2018 18:39,1000078,500000
Cliente_26,09/03/2018 18:40,1000078,500000
Cliente_22,12/03/2018 11:06,1000209,5000
Cliente_37,12/03/2018 13:11,1000088,1000
Cliente_37,12/03/2018 13:48,1000088,500
Cliente_21,12/03/2018 14:50,1000088,50000
Cliente_21,12/03/2018 14:51,1000088,50000
Cliente_21,12/03/2018 14:52,1000088,50000
Cliente_39,12/03/2018 14:56,1000078,50000
Cliente_24,12/03/2018 14:57,1000209,50000
Cliente_24,12/03/2018 14:57,1000209,0
Cliente_24,12/03/2018 14:57,1000088,0
Cliente_24,12/03/2018 14:57,1000078,0
Cliente_24,12/03/2018 14:59,1000209,15000
Cliente_24,12/03/2018 14:59,1000209,0
Cliente_24,12/03/2018 14:59,1000088,0
Cliente_24,12/03/2018 14:59,1000078,0
Cliente_24,12/03/2018 15:01,1000209,5000
Cliente_22,12/03/2018 15:45,1000209,5000
Cliente_41,12/03/2018 15:49,1001114,1
Cliente_40,12/03/2018 15:52,1002079,10
Cliente_18,12/03/2018 16:10,1000088,1000
Cliente_18,12/03/2018 17:15,1000088,5000
Cliente_18,12/03/2018 17:16,1000088,5000
Cliente_22,13/03/2018 07:21,1000209,5000
Cliente_37,13/03/2018 14:32,1000088,1000
Cliente_14,13/03/2018 15:25,1000303,1
Cliente_14,13/03/2018 15:25,1000213,1
